timestamp,run_id,run_number,f1_weighted,precision_weighted,recall_weighted
2026-05-10T16:21:56,baseline,1,0.8592,0.9003,0.843
2026-05-10T16:23:47,baseline,1,0.854,0.9003,0.8347
2026-05-10T16:25:38,baseline,1,0.8776,0.9135,0.8595
2026-05-10T16:27:28,baseline,1,0.8671,0.9069,0.8512
2026-05-10T16:29:19,baseline,1,0.8776,0.9135,0.8595
2026-05-10T16:31:10,baseline,1,0.8697,0.9069,0.8512
2026-05-10T16:33:01,baseline,1,0.8555,0.9081,0.8347
2026-05-10T16:34:53,baseline,1,0.8638,0.9162,0.843
2026-05-10T16:36:44,baseline,1,0.854,0.9003,0.8347
2026-05-10T16:38:35,baseline,1,0.8671,0.9069,0.8512
"2026-05-10T16:38:36","baseline_AVG","0","0.8646","0.9073","0.8463"
