timestamp,run_id,run_number,f1_weighted,precision_weighted,recall_weighted
2026-04-07T11:38:40,lr0.01_steps4000,1,0.8974,0.9326,0.8843
2026-04-07T11:56:59,lr0.01_steps4000,1,0.8974,0.9326,0.8843
2026-04-07T12:15:22,lr0.01_steps4000,1,0.8974,0.9326,0.8843
2026-04-07T12:33:44,lr0.01_steps4000,1,0.8974,0.9326,0.8843
2026-04-07T12:52:10,lr0.01_steps4000,1,0.8971,0.9321,0.8843
2026-04-07T13:11:06,lr0.01_steps4000,1,0.8974,0.9326,0.8843
2026-04-07T13:30:10,lr0.01_steps4000,1,0.8974,0.9326,0.8843
2026-04-07T13:49:49,lr0.01_steps4000,1,0.8892,0.9244,0.876
2026-04-07T14:09:18,lr0.01_steps4000,1,0.8974,0.9326,0.8843
2026-04-07T14:30:21,lr0.01_steps4000,1,0.8889,0.9238,0.876
