timestamp,run_id,run_number,f1_weighted,precision_weighted,recall_weighted
2026-05-11T22:04:31,baseline,1,0.856,0.9069,0.8347
2026-05-11T22:06:24,baseline,1,0.8592,0.9003,0.843
2026-05-11T22:08:18,baseline,1,0.8697,0.9069,0.8512
2026-05-11T22:10:12,baseline,1,0.8854,0.9228,0.8678
2026-05-11T22:12:05,baseline,1,0.8697,0.9069,0.8512
2026-05-11T22:13:59,baseline,1,0.8521,0.9069,0.8264
2026-05-11T22:15:52,baseline,1,0.8749,0.9162,0.8595
2026-05-11T22:17:46,baseline,1,0.8697,0.9069,0.8512
2026-05-11T22:19:39,baseline,1,0.8776,0.9135,0.8595
2026-05-11T22:21:34,baseline,1,0.8724,0.9135,0.8512
"2026-05-11T22:21:34","baseline_AVG","0","0.8687","0.9101","0.8496"
