Tactic,F1_baseline_mean,F1_tactic_mean,F1_pct_change,F1_U,F1_p_raw,F1_p_bonferroni,F1_significant,F1_cliffs_delta,F1_effect_size,Time_baseline_mean,Time_tactic_mean,Time_pct_change,Time_U,Time_p_raw,Time_p_bonferroni,Time_significant,Time_cliffs_delta,Time_effect_size,CC_baseline_fn_mean,CC_tactic_fn_mean,CC_pct_change,CC_U,CC_p_raw,CC_p_bonferroni,CC_significant,CC_cliffs_delta,CC_effect_size,OC_baseline,OC_tactic,OC_pct_change,OC_note
auto data reduction,0.864560,0.846730,-2.0623%,93.0,0.001266,0.015190,True,-0.8600,large,24.893090,24.198260,-2.7913%,100.0,0.000183,0.002192,True,-1.0000,large,3.809524,3.727273,-2.1591%,232.5,0.980036,1.000000,False,-0.0065,negligible,0.9916,0.9931,+0.1513%,descriptive only
batch normalization,0.864560,0.898940,+3.9766%,5.0,0.000758,0.009096,True,+0.9000,large,24.893090,22.590250,-9.2509%,100.0,0.000183,0.002192,True,-1.0000,large,3.809524,3.809524,+0.0000%,220.5,1.000000,1.000000,False,+0.0000,negligible,0.9916,0.9853,-0.6353%,descriptive only
control weight initialization,0.864560,0.879400,+1.7165%,0.0,0.000062,0.000750,True,+1.0000,large,24.893090,24.305180,-2.3617%,99.0,0.000246,0.002954,True,-0.9800,large,3.809524,3.904762,+2.5000%,218.5,0.968951,1.000000,False,+0.0091,negligible,0.9916,1.0000,+0.8471%,descriptive only
data preprocessing,0.864560,0.917120,+6.0794%,0.0,0.000178,0.002131,True,+1.0000,large,24.893090,15.361010,-38.2921%,100.0,0.000183,0.002192,True,-1.0000,large,3.809524,4.409091,+15.7386%,216.0,0.716988,1.000000,False,+0.0649,negligible,0.9916,0.9917,+0.0101%,descriptive only
dead code flag elimination,0.864560,0.865560,+0.1157%,44.5,0.703646,1.000000,False,+0.1100,negligible,24.893090,24.605920,-1.1536%,67.0,0.212294,1.000000,False,-0.3400,medium,3.809524,4.294118,+12.7206%,162.5,0.639841,1.000000,False,+0.0896,negligible,0.9916,0.9905,-0.1109%,descriptive only
hp tuning config a,0.864560,0.895700,+3.6018%,0.0,0.000129,0.001552,True,+1.0000,large,24.893090,186.775660,+650.3113%,0.0,0.000183,0.002192,True,+1.0000,large,3.809524,3.809524,+0.0000%,220.5,1.000000,1.000000,False,+0.0000,negligible,0.9916,0.9866,-0.5042%,descriptive only
hp tuning config b,0.864560,0.862300,-0.2614%,58.0,0.567232,1.000000,False,-0.1600,small,24.893090,189.948410,+663.0568%,0.0,0.000183,0.002192,True,+1.0000,large,3.809524,3.809524,+0.0000%,220.5,1.000000,1.000000,False,+0.0000,negligible,0.9916,0.9866,-0.5042%,descriptive only
hp tuning config c,0.864560,0.898630,+3.9407%,0.0,0.000109,0.001303,True,+1.0000,large,24.893090,190.755650,+666.2996%,0.0,0.000183,0.002192,True,+1.0000,large,3.809524,3.809524,+0.0000%,220.5,1.000000,1.000000,False,+0.0000,negligible,0.9916,0.9866,-0.5042%,descriptive only
hp tuning config d,0.864560,0.894390,+3.4503%,0.0,0.000143,0.001720,True,+1.0000,large,24.893090,94.412330,+279.2712%,0.0,0.000183,0.002192,True,+1.0000,large,3.809524,3.809524,+0.0000%,220.5,1.000000,1.000000,False,+0.0000,negligible,0.9916,0.9866,-0.5042%,descriptive only
hp tuning config e,0.864560,0.894940,+3.5139%,0.0,0.000126,0.001514,True,+1.0000,large,24.893090,303.908600,+1120.8553%,0.0,0.000183,0.002192,True,+1.0000,large,3.809524,3.809524,+0.0000%,220.5,1.000000,1.000000,False,+0.0000,negligible,0.9916,0.9866,-0.5042%,descriptive only
model pruning,0.864560,0.015200,-98.2419%,100.0,0.000062,0.000750,True,-1.0000,large,24.893090,24.435860,-1.8368%,100.0,0.000183,0.002192,True,-1.0000,large,3.809524,3.904762,+2.5000%,219.0,0.979294,1.000000,False,+0.0068,negligible,0.9916,1.0000,+0.8471%,descriptive only
modularization,0.864560,0.868670,+0.4754%,36.0,0.304378,1.000000,False,+0.2800,small,24.893090,22.588650,-9.2573%,100.0,0.000183,0.002192,True,-1.0000,large,3.809524,4.045455,+6.1932%,213.0,0.662971,1.000000,False,+0.0779,negligible,0.9916,0.9903,-0.1311%,descriptive only
